term_36m,term_60m,grade_n,sub_grade_n,revol_util_n,int_rate_n,installment_n,tot_hi_cred_lim_n,emp_length_n,dti_n,avg_cur_bal_n,all_util_n,acc_open_past_24mths_n,annual_inc_n,loan_amnt_n,cover,Outcome
1.0,0.0,1.0,0.9705882352941176,0.41261722080136404,0.04168289832489285,0.4565111198556251,0.04029999059181598,0.5,0.37641047477113043,0.028025486616728566,0.7874015748031497,0.030303030303030304,0.009602619414483822,0.5641025641025641,0.0022130496520723873,0.0
1.0,0.0,0.8333333333333334,0.8529411764705882,0.4381926683716965,0.11141410206466691,0.40536249779502564,0.1678104134175812,0.6,0.19714711517990205,0.12493617854619973,0.7874015748031497,0.21212121212121213,0.017719568567026195,0.48717948717948717,0.0055342515093267375,0.0
1.0,0.0,0.8333333333333334,0.8235294117647058,0.45268542199488493,0.14959096221269966,0.19528610391196385,0.19785204978234133,0.4,0.3172237598467106,0.2367793421319513,0.3700787401574803,0.15151515151515152,0.007550077041602465,0.23076923076923078,0.005159954305797394,0.0
1.0,0.0,1.0,0.8823529411764706,0.33589087809036655,0.10011686793922865,0.13822815039960923,0.07729475565847331,0.5,0.45582286565893115,0.03815298964169062,0.7874015748031497,0.2727272727272727,0.015408320493066256,0.16666666666666666,0.014535208070389582,1.0
1.0,0.0,0.8333333333333334,0.8529411764705882,0.5038363171355499,0.11959485781067396,0.10732458580403545,0.024800522463241128,0.4,0.38833297849691284,0.03681011631241388,0.5354330708661418,0.12121212121212122,0.0061633281972265025,0.1282051282051282,0.007762211054144262,0.0
1.0,0.0,1.0,0.9705882352941176,0.36061381074168797,0.045578496299181925,0.29089379486274886,0.0678488015553033,1.0,0.5267191824568873,0.023975884233128405,0.7874015748031497,0.09090909090909091,0.00539291217257319,0.358974358974359,0.002058634619411395,0.0
1.0,0.0,0.6666666666666666,0.5882352941176471,0.2958226768968457,0.41566030385664204,0.45601584867769385,0.14058573842913544,1.0,0.3299978709814775,0.12846122103555116,0.30708661417322836,0.30303030303030304,0.009244992295839754,0.48717948717948717,0.0025933449101676015,1.0
0.0,1.0,0.3333333333333333,0.4117647058823529,0.5473145780051152,0.5037008180755747,0.5852544879710165,0.19281626778026603,0.7,0.3608686395571641,0.17040503017967926,0.7874015748031497,0.24242424242424243,0.023112480739599383,0.8717948717948718,0.0037391526760737572,1.0
1.0,0.0,0.6666666666666666,0.6764705882352942,0.5413469735720375,0.28710557070510323,0.36593077058767665,0.14966085900153758,0.7,0.6048541622312114,0.11358470243465732,0.7874015748031497,0.15151515151515152,0.0064714946070878274,0.41025641025641024,0.002121541712441532,1.0
1.0,0.0,0.6666666666666666,0.6470588235294118,0.5430520034100597,0.31203739774055317,0.5302590336105948,0.0812928905031593,0.5,0.5705769640195869,0.052721766437958555,0.7874015748031497,0.24242424242424243,0.01386748844375963,0.5897435897435898,0.0033062919645092136,0.0
1.0,0.0,0.8333333333333334,0.7647058823529411,0.3350383631713555,0.22088040514218935,0.2455323825935927,0.2349072469799386,0.3,0.14881839472003405,0.10955608244682712,0.7874015748031497,0.30303030303030304,0.01078582434514638,0.28205128205128205,0.0059798434182902465,0.0
1.0,0.0,1.0,1.0,0.2549019607843137,0.0,0.7962942860632047,0.43349959036629426,1.0,0.5022354694485841,0.16217293690593593,0.3700787401574803,0.12121212121212122,0.01633281972265023,1.0,0.001951692561260154,0.0
1.0,0.0,0.8333333333333334,0.7941176470588235,0.39215686274509803,0.1819244253992988,0.4168012266442325,0.17042822345329797,1.0,0.4245262933787523,0.10160375445001643,0.7874015748031497,0.06060606060606061,0.007704160246533128,0.48717948717948717,0.002058634619411395,0.0
1.0,0.0,0.8333333333333334,0.8235294117647058,0.5225916453537937,0.14998052201012854,0.15206182069826454,0.01624250864763192,0.3,0.5079838194592292,0.011617253124628437,0.4094488188976378,0.030303030303030304,0.0026194144838212635,0.1794871794871795,0.00245966733747855,0.0
